Filename	Abby_2_5_PEGPLA_freqlow								
Instrument name	5343-0030								
Operator	ag mc								
rundate	12/6/2021								
Sample name	Abby_2_5_PEGPLA_freqlow								
Geometry name	"20.0mm parallel plate, Peltier plate CrossHatched, Solvent Trap"								
Procedure name	Frequency sweep								
proceduresegments	Frequency sweep								
[step]									
Frequency sweep - 1									
Storage modulus	Loss modulus	Tan(delta)	Angular frequency	Oscillation torque	Step time	Temperature	Raw phase	Oscillation displacement	Time
Pa	Pa		rad/s	µN.m	s	°C	°	rad	s
495.554	114.025	0.230096	100	139.436	6.14853	25	179.264	6.00E-04	6.14853
450.721	109.022	0.241884	79.4327	84.7375	12.8516	25	178.856	5.93E-04	12.8516
418.853	104.05	0.248416	63.0957	51.2022	19.4423	25	178.2	5.91E-04	19.4423
393.453	99.1669	0.252043	50.119	30.2222	26.1378	25	177.102	5.88E-04	26.1378
373.097	94.8167	0.254134	39.8105	17.2281	33.0353	25	175.123	5.90E-04	33.0353
355.882	90.9021	0.255428	31.623	9.13691	39.7703	25	171.104	5.94E-04	39.7703
340.734	87.1341	0.255725	25.1188	4.14075	46.4271	25	160.799	5.97E-04	46.4271
327.121	83.9051	0.256496	19.9526	1.49898	53.2865	25	118.597	5.99E-04	53.2865
314.96	80.6707	0.25613	15.849	1.78341	60.3433	25	45.3495	6.01E-04	60.3433
303.344	77.7294	0.256242	12.5892	2.73202	67.1821	25	26.6472	6.02E-04	67.1821
292.293	75.1625	0.257148	10.0001	3.35394	74.1195	25	20.7263	6.03E-04	74.1195
281.923	72.6869	0.257826	7.94327	3.70622	81.2348	25	18.0664	6.04E-04	81.2348
271.836	70.3594	0.258831	6.30957	3.87791	88.0297	25	16.6979	6.05E-04	88.0297
262.161	68.2933	0.260501	5.01186	3.93401	94.3845	25	15.9701	6.05E-04	94.3845
252.688	66.4989	0.263166	3.98105	3.91739	101.298	25	15.6204	6.06E-04	101.298
243.612	64.7464	0.265776	3.16229	3.85714	108.936	25	15.4509	6.06E-04	108.936
234.734	63.0389	0.268554	2.51189	3.77005	115.089	25	15.4022	6.07E-04	115.089
225.93	61.3397	0.271498	1.99526	3.66417	121.865	25	15.4323	6.07E-04	121.865
217.461	59.9497	0.275681	1.5849	3.54985	129.64	25	15.5729	6.07E-04	129.64
209.504	58.8356	0.280833	1.25892	3.43864	138.541	25	15.7928	6.08E-04	138.541
200.897	58.3938	0.290665	1	3.31795	148.413	25	16.2791	6.08E-04	148.413
192.894	56.7032	0.293961	0.794327	3.1922	160.027	25	16.4288	6.08E-04	160.027
184.665	56.1203	0.303903	0.630957	3.06647	173.8	25	16.9364	6.08E-04	173.8
177.812	54.9513	0.309042	0.501188	2.95535	190.091	25	17.1947	6.07E-04	190.091
169.898	53.8758	0.317107	0.398107	2.8382	209.598	25	17.6086	6.09E-04	209.598
162.236	52.7364	0.325061	0.316228	2.71279	233.025	25	18.017	6.08E-04	233.025
154.181	52.3336	0.33943	0.251189	2.59084	261.727	25	18.7553	6.08E-04	261.727
147.476	52.3381	0.354892	0.199526	2.48734	296.831	25	19.5439	6.07E-04	296.831
141.245	51.3526	0.363572	0.15849	2.38878	340.342	25	19.9828	6.07E-04	340.342
134.586	50.0414	0.371819	0.125892	2.28431	394.024	25	20.3981	6.08E-04	394.024
127.641	48.9292	0.383334	0.1	2.17537	460.644	25	20.9749	6.08E-04	460.644
120.863	48.206	0.398848	0.0794327	2.07014	543.453	25	21.7454	6.08E-04	543.453
114.472	47.5993	0.415816	0.0630957	1.97129	646.83	25	22.5789	6.07E-04	646.83
108.128	47.0054	0.434721	0.0501187	1.87566	775.799	25	23.496	6.08E-04	775.799
102.398	46.509	0.454197	0.0398107	1.78652	937.289	25	24.4277	6.07E-04	937.289
97.0759	45.8579	0.472393	0.0316228	1.70335	1139.78	25	25.2858	6.06E-04	1139.78
91.8925	45.3238	0.493227	0.0251189	1.62616	1393.73	25	26.2538	6.06E-04	1393.73
87.0066	44.5381	0.511893	0.0199526	1.55004	1712.25	25	27.1076	6.06E-04	1712.25
82.191	43.6669	0.531285	0.015849	1.47677	2112.51	25	27.9811	6.06E-04	2112.51
78.0491	42.6035	0.545855	0.0125892	1.40929	2615.43	25	28.6281	6.05E-04	2615.43
73.7752	42.2905	0.573235	0.01	1.34709	3247.64	25	29.8228	6.05E-04	3247.64
69.4217	42.4045	0.610825	7.94E-03	1.28709	4042.43	25	31.4176	6.04E-04	4042.43
65.233	41.7101	0.639401	6.31E-03	1.22562	5042.06	25	32.5948	6.05E-04	5042.06
60.3332	40.0053	0.663073	5.01E-03	1.1467	6299.39	25	33.5472	6.05E-04	6299.39
60.1626	38.9957	0.648172	3.98E-03	1.12484	7881.32	25	32.9501	5.99E-04	7881.32
58.0197	37.2662	0.642302	3.16E-03	1.09239	9871.85	25	32.7127	6.05E-04	9871.85
51.2619	35.2672	0.687982	2.51E-03	0.99664	12377.1	25	34.5272	6.12E-04	12377.1
47.2825	33.8837	0.716622	2.00E-03	0.924973	15529.9	25	35.6262	6.07E-04	15529.9
45.2489	31.4508	0.695062	1.58E-03	0.868322	19498.1	25	34.8016	6.02E-04	19498.1
43.8386	32.3473	0.737874	1.26E-03	0.857921	24493	25	36.4226	6.01E-04	24493
41.8692	31.4875	0.752044	1.00E-03	0.827259	30779.8	25	36.9447	6.03E-04	30779.8
